21,1614,19
22,1390,15
23,58,11
24,1832,7
25,413,1
26,925,13
27,1186,17
28,757,11
29,1830,2
30,161,9
31,991,8
32,1434,9
33,1257,18
34,1537,6
35,357,10
36,173,15
37,789,7
38,945,1
39,181,10
40,1212,1
41,267,1
42,515,7
43,949,12
44,1400,2
45,1435,2
46,1315,5
47,430,2
48,1787,11
49,479,3
50,1549,17
51,493,18
52,1690,15
53,1981,20
54,1454,1
55,420,19
56,260,9
57,989,12
58,231,5
59,1257,7
60,1841,10
61,336,14
62,511,16
63,336,19
64,707,13
65,630,2
66,522,2
67,319,5
68,1376,19
69,707,8
70,1039,19
71,1447,5
72,554,13
73,338,14
74,1976,9
75,1956,17
76,1048,1
77,1014,2
78,632,19
79,963,10
80,700,5
81,450,19
82,419,15
83,1671,15
84,926,19
85,1294,20
86,1630,14
87,1452,19
88,1322,3
89,688,6
90,1726,10
91,1386,17
92,1163,20
93,1390,5
94,1507,6
95,234,11
96,1002,7
97,232,14
98,1331,19
99,770,16
100,160,6
101,397,7
102,1266,7
103,942,5
104,547,11
105,614,10
106,853,20
107,692,13
108,224,14
109,178,19
110,285,8
111,1058,18
112,65,6
113,992,5
114,620,11
115,293,8
116,1972,7
117,346,14
118,81,6
119,380,17
120,306,11
121,1333,9
122,1372,20
123,641,14
124,1094,12
125,853,14
126,1199,9
127,1628,20
128,750,18
129,1264,7
130,288,2
131,1862,10
132,797,19
133,58,5
134,1584,7
135,1902,1
136,1865,12
137,903,15
138,606,7
139,1093,10
140,1170,7
141,1673,1
142,1604,6
143,944,18
144,1648,2
145,849,14
146,1482,14
147,505,4
148,1484,19
149,371,14
150,517,1
151,1175,14
152,233,12
153,1950,7
154,1004,4
155,756,2
156,1247,20
157,738,14
158,1261,1
159,627,19
160,1522,12
161,858,16
162,737,20
163,1649,17
164,848,15
165,972,18
166,1125,15
167,1770,3
168,860,16
169,1367,15
170,46,15
171,294,13
172,1861,7
173,111,15
174,1627,15
175,1648,18
176,1213,11
177,963,8
178,1373,16
179,904,20
180,1488,6
181,893,10
182,881,5
183,1317,9
184,98,17
185,333,17
186,1348,2
187,653,14
188,370,5
189,1955,10
190,821,9
191,1592,5
192,1604,15
193,19,2
194,1709,9
195,1114,12
196,1436,10
197,1251,4
198,690,10
199,1718,6
200,718,15
201,1264,3
202,53,10
203,926,5
204,323,19
205,936,20
206,1210,10
207,1305,6
208,1805,9
209,1831,11
210,754,2
211,112,13
212,1918,5
213,753,2
214,111,2
215,326,13
216,952,14
217,1121,3
218,1376,18
219,1672,2
220,1056,13
221,715,8
222,586,8
223,289,13
224,1486,12
225,1961,17
226,230,6
227,172,11
228,1029,16
229,568,7
230,1221,5
231,217,9
232,719,10
233,1098,11
234,1753,1
235,1977,12
236,214,13
237,1940,10
238,298,19
239,1067,1
240,878,14
241,399,12
242,817,20
243,1632,2
244,256,4
245,858,12
246,1211,13
247,1701,3
248,1429,16
249,148,1
250,1170,15
251,852,20
252,827,19
253,950,18
254,1972,2
255,1795,10
256,418,15
257,825,18
258,1243,4
259,422,2
260,1395,6
261,1711,1
262,105,20
263,426,5
264,919,12
265,1041,20
266,1740,20
267,372,17
268,1674,12
269,1373,9
270,167,5
271,255,5
272,981,2
273,1223,17
274,1985,20
275,1346,19
276,762,19
277,1098,6
278,516,11
279,1419,18
280,1471,20
281,167,14
282,125,3
283,1343,10
284,1298,18
285,107,8
286,1351,13
287,481,13
288,408,6
289,944,8
290,505,5
291,15,18
292,623,1
293,1470,16
294,1272,15
295,1299,5
296,226,4
297,1178,8
298,1635,11
299,1503,19
300,1505,13
301,1137,5
302,788,13
303,363,13
304,1430,8
305,1884,1
306,282,4
307,1382,3
308,642,14
309,1936,10
310,1676,13
311,253,10
312,1640,7
313,1814,2
314,1078,9
315,785,11
316,1121,11
317,317,10
318,111,18
319,1371,8
320,1712,1
321,515,4
322,301,12
323,368,12
324,751,1
325,1745,5
326,645,11
327,1490,17
328,1409,14
329,1175,17
330,261,19
331,1848,1
332,1045,11
333,752,20
334,1771,1
335,642,4
336,1542,12
337,1512,14
338,1972,9
339,758,8
340,639,8
341,1805,11
342,1050,8
343,179,5
344,1114,1
345,1210,19
346,1459,9
347,1270,5
348,362,1
349,919,9
350,1224,20
351,411,19
352,1373,19
353,372,14
354,1166,11
355,954,9
356,1407,2
357,1647,19
358,1075,16
359,107,6
360,903,6
361,1950,18
362,1285,3
363,921,12
364,1245,16
365,1333,17
366,1077,9
367,553,15
368,1176,2
369,578,18
370,107,4
371,1493,1
372,1572,6
373,1460,19
374,1810,20
375,1923,5
376,1579,4
377,916,11
378,1782,6
379,1923,9
380,17,11
381,811,14
382,282,16
383,383,9
384,1269,3
385,663,16
386,206,2
387,297,18
388,855,6
389,1923,19
390,1464,7
391,1654,18
392,1432,5
393,1334,5
394,1826,1
395,1408,9
396,1658,20
397,181,17
398,1996,14
399,816,1
400,1844,15
401,32,6
402,1004,19
403,656,4
404,152,8
405,131,18
406,30,6
407,1595,9
408,94,5
409,1452,1
410,62,4
411,1692,6
412,663,9
413,1587,20
414,1240,2
415,1777,10
416,471,1
417,1832,1
418,107,18
419,925,9
420,1967,6
421,994,1
422,1772,5
423,1023,15
424,1826,4
425,1947,2
426,993,17
427,1138,4
428,987,2
429,175,2
430,846,9
431,174,1
432,1244,6
433,593,15
434,769,20
435,1614,9
436,183,20
437,1721,2
438,798,20
439,570,16
440,346,1
441,1755,5
442,1011,20
443,1277,5
444,66,18
445,1016,8
446,1420,5
447,1327,20
448,599,1
449,96,13
450,1861,17
451,940,20
452,19,12
453,807,7
454,295,17
455,909,11
456,1004,4
457,1778,18
458,389,13
459,800,19
460,1072,17
461,765,7
462,155,9
463,872,3
464,873,3
465,232,4
