21,165
22,1143
23,752
24,1692
25,697
26,1583
27,1340
28,1281
29,133
30,1565
31,635
32,452
33,1830
34,437
35,40
36,1714
37,1728
38,1537
39,377
40,1813
41,1951
42,918
43,882
44,454
45,1388
46,19
47,437
48,1600
49,77
50,357
51,643
52,1412
53,988
54,1009
55,856
56,1054
57,1717
58,338
59,196
60,319
61,214
62,715
63,143
64,303
65,1910
66,1638
67,419
68,1843
69,1633
70,13
71,1807
72,1074
73,1217
74,1374
75,987
76,1763
77,1021
78,765
79,882
80,796
81,1313
82,66
83,369
84,1679
85,1911
86,461
87,59
88,392
89,1875
90,934
91,1321
92,615
93,984
94,981
95,436
96,1932
97,778
98,1987
99,1313
100,1652
101,1122
102,528
103,254
104,1011
105,805
106,1524
107,329
108,642
109,1119
110,1942
111,161
112,357
113,1014
114,914
115,1113
116,315
117,89
118,1463
119,494
120,1042
121,1516
122,1239
123,1484
124,1873
125,1208
126,1812
127,1432
128,574
129,1189
130,1979
131,1723
132,187
133,184
134,645
135,1079
136,1606
137,264
138,930
139,889
140,1880
141,848
142,1411
143,845
144,252
145,295
146,1751
147,1140
148,103
149,1185
150,195
151,147
152,1845
153,287
154,1203
155,1418
156,15
157,715
158,1920
159,1705
160,1615
161,1765
162,1547
163,216
164,1921
165,1379
166,1161
167,721
168,1014
169,1791
170,621
171,648
172,665
173,1234
174,1197
175,630
176,849
177,1997
178,952
179,378
180,402
181,1638
182,1835
183,1405
184,1000
185,1050
186,1025
187,439
188,1191
189,587
190,554
191,63
192,56
193,76
194,1860
195,1112
196,287
197,1220
198,1765
199,407
200,192
201,1847
202,225
203,1178
204,592
205,1517
206,1957
207,1661
208,1723
209,784
210,1821
211,1277
212,1084
213,1392
214,87
215,885
216,466
217,1884
218,973
219,1011
220,641
221,1641
222,222
223,627
224,865
225,775
226,138
227,704
228,1475
229,1762
230,924
231,1965
232,1960
233,266
234,110
235,1859
236,635
237,510
238,1163
239,1568
240,700
241,1126
242,1712
